id,type,short_name
street_307,PASAJE,HIJUELAS
street_308,PASEO,HIJUELAS
street_309,PASAJE,HOLANDA
street_310,AVENIDA,HOLANDA
street_311,CALLE,HORCON
street_312,CALLE,HUMBERTO TRUCCO
street_313,PASAJE,INCAHUASI
street_314,CALLE,INES PALMA
street_315,CALLE,IQUIQUE
street_316,PASAJE,IRARRAZAVAL
street_317,CALLE,IRARRAZAVAL
street_318,AVENIDA,IRARRAZAVAL
street_319,CALLE,ISLA CHAROA
street_320,AVENIDA,ITALIA
street_321,PASAJE,ITATA
street_322,CALLE,ITATA
street_323,CALLE,JAIME GUZMAN ERRAZURIZ
street_324,CALLE,JARILLA
street_325,PASAJE,JEAN SIBELIUS
street_326,CALLE,JOAQUIN CABEZAS
street_327,CALLE,JOAQUIN WALKER MARTINEZ
street_328,CALLE,JORGE BATISTE
street_329,CALLE,JORGE CANNING
street_330,PASAJE,JORGE WASHINGTON
street_331,CALLE,JORGE WASHINGTON
street_332,PASAJE,JOSE BENAVENTE
street_333,CALLE,JOSE BENAVENTE
street_334,AVENIDA,JOSE DOMINGO CAÑAS
street_335,PASAJE,JOSE DOMINGO CAÑAS
street_336,CALLE,JOSE GABRIEL ROJAS
street_337,CALLE,JOSE IGNACIO VERGARA
street_338,CALLE,JOSE JOAQUIN DE MORA
street_339,CALLE,JOSE LUIS ARANEDA
street_340,AVENIDA,JOSE MANUEL INFANTE
street_341,CALLE,JOSE MANUEL INFANTE
street_342,CALLE,JOSE MARIA NARBONA
street_343,PASAJE,JOSE MIGUEL CLARO
street_344,AVENIDA,JOSE MIGUEL CLARO
street_345,PASAJE,JOSE MIGUEL INFANTE
street_346,PASAJE,JOSE PEDRO ALESSANDRI
street_347,AVENIDA,JOSE PEDRO ALESSANDRI
street_348,PASAJE,JOSELITO
street_349,PASAJE,JUAN DIAZ
street_350,CALLE,JUAN ENRIQUE CONCHA
street_351,PASAJE,JUAN ENRIQUE CONCHA
street_352,CALLE,JUAN FRANCISCO GONZALEZ
street_353,PASAJE,JUAN FRANCISCO GONZALEZ
street_354,CALLE,JUAN GODOY
street_355,PASAJE,JUAN GOMEZ
street_356,CALLE,JUAN JARA
street_357,PASAJE,JUAN MOYA INTERIOR
street_358,PASAJE,JUAN MOYA MORALES
street_359,CALLE,JUAN MOYA MORALES
street_360,PASAJE,JUAN MOYA MORALES INTERIOR
street_361,CALLE,JUAN SABAJ
street_362,CALLE,JULIO CORDERO BUSTAMANTE
street_363,CALLE,JULIO PRADO
street_364,PASAJE,JULIO PRADO
street_365,CALLE,JULIO ZEGERS
street_366,CALLE,JUSTO UGARTE
street_367,CALLE,LA ADUANA
street_368,PASAJE,LA CALERA
street_369,PASEO,LA CALERA
street_370,PASAJE,LA CONCORDIA
street_371,PASAJE,LA CRUZ
street_372,CALLE,LA GIRALDA
street_373,PASAJE,LA GIRALDA
street_374,CALLE,LA PROA
street_375,CALLE,LA QUILLA
street_376,PASAJE,LA QUILLA
street_377,PASAJE,LA RADA
street_378,CALLE,LA RESACA
street_379,CALLE,LA TIRANA
street_380,PASAJE,LA TIRANA
street_381,CALLE,LA VERBENA
street_382,PASAJE,LA VERBENA
street_383,PASAJE,LACONIA
street_384,PASAJE,LAGUNA VERDE
street_385,CALLE,LAS ALGAS
street_386,CALLE,LAS AMAPOLAS
street_387,PASAJE,LAS AMAPOLAS
street_388,PASAJE,LAS ARALIAS
street_389,CALLE,LAS BRUMAS
street_390,PASAJE,LAS BRUMAS
street_391,CALLE,LAS DALIAS
street_392,CALLE,LAS DOCAS
street_393,CALLE,LAS ENCINAS
street_394,PASAJE,LAS ENCINAS
street_395,PASAJE,LAS GARDENIAS
street_396,PASAJE,LAS MAREJADAS
street_397,CALLE,LAS MAREJADAS
street_398,PASAJE,LAS OLAS
street_399,PASAJE,LAS PALMERAS
street_400,CALLE,LAS PALMERAS
street_401,CALLE,LAS REGATAS
street_402,PASAJE,LAS ROCAS
street_403,PASAJE,LAS TORMENTAS
street_404,PASAJE,LAS TORPEDERAS
street_405,CALLE,LAS TORPEDERAS
street_406,CALLE,LAS VERONICAS
street_407,PASAJE,LASTENIA VALDIVIESO
street_408,PASAJE,LEON WEINSTEIN
street_409,PASAJE,LEOPOLDO URRUTIA
street_410,CALLE,LEOPOLDO URRUTIA
street_411,CALLE,LICENCIADO DE LAS PEÑAS
street_412,PASAJE,LICENCIADO DE LAS PEÑAS
street_413,CALLE,LIMACHE
street_414,CALLE,LINCOYAN
street_415,PASAJE,LINE
street_416,CALLE,LLUTA
street_417,AVENIDA,LO ENCALADA
street_418,CALLE,LO ENCALADA
street_419,PASAJE,LO ENCALADA
street_420,PASAJE,LO PLAZA
street_421,PASAJE,LONGITUDINAL
street_422,CALLE,LONGITUDINAL
street_423,CALLE,LOS 3 ANTONIOS
street_424,PASAJE,LOS 3 ANTONIOS
street_425,CALLE,LOS AGUSTINOS
street_426,PASAJE,LOS ALBAÑILES
street_427,CALLE,LOS ALERCES
street_428,PASAJE,LOS ALERCES
street_429,PASAJE,LOS ALERCES INTERIOR
street_430,CALLE,LOS ALIAGA
street_431,PASAJE,LOS ALIAGA
street_432,CALLE,LOS ALMENDROS
street_433,PASAJE,LOS ALMENDROS
street_434,PASAJE,LOS ALMENDROS INTERIOR
street_435,PASAJE,LOS ARRECIFES
street_436,CALLE,LOS AVELLANOS
street_437,PASAJE,LOS CARPINTEROS
street_438,CALLE,LOS CEREZOS
street_439,PASAJE,LOS CEREZOS
street_440,CALLE,LOS CORALES
street_441,PASAJE,LOS CORTESES
street_442,PASAJE,LOS ENFIERRADORES
street_443,PASAJE,LOS ESCULTORES
street_444,PASAJE,LOS ESTUCADORES
street_445,PASAJE,LOS GIRASOLES
street_446,CALLE,LOS JARDINES
street_447,PASAJE,LOS JARDINES
street_448,PASAJE,LOS JARDINES INTERIOR
street_449,CALLE,LOS JAZMINES
street_450,PASAJE,LOS JAZMINES
street_451,PASAJE,LOS JORNALEROS
street_452,PASAJE,LOS LABRADORES
street_453,AVENIDA,LOS LEONES
street_454,PASAJE,LOS MARINEROS
street_455,CALLE,LOS NAVIOS
street_456,CALLE,LOS PESCADORES
street_457,CALLE,LOS POZOS
street_458,CALLE,LOS SALVAVIDAS
street_459,CALLE,LOS TALAVERAS
street_460,PASAJE,LOS TOTORALES
street_461,PASEO,LOS TOTORALES
street_462,PASAJE,LOS VELEROS
street_463,PASAJE,LOS VIDRIEROS
street_464,CALLE,LUIS ALBERTO HEIREMANS
street_465,CALLE,LUIS BELTRAN
street_466,CALLE,LUIS BERNARDIN
street_467,PASAJE,LUIS PEREIRA
street_468,CALLE,LUIS PEREIRA
